state,date,critical_staffing_shortage_today_yes,critical_staffing_shortage_today_no,hospital_onset_covid,hospital_onset_covid_coverage,inpatient_beds,inpatient_beds_used_covid,inpatient_beds_used_covid_coverage,inpatient_beds_utilization,inpatient_beds_utilization_coverage,inpatient_beds_utilization_numerator,inpatient_beds_utilization_denominator,percent_of_inpatients_with_covid,percent_of_inpatients_with_covid_coverage,percent_of_inpatients_with_covid_numerator,percent_of_inpatients_with_covid_denominator,inpatient_bed_covid_utilization,inpatient_bed_covid_utilization_coverage,inpatient_bed_covid_utilization_numerator,inpatient_bed_covid_utilization_denominator,deaths_covid,deaths_covid_coverage,start_date
OK,4/20/2020,0,0,2,92,10436,367,127,0.430963303,91,3758,8720,0.082240161,95,326,3964,0.037130895,95,337,9076,7,95,12/31/2019
AK,8/5/2020,2,6,1,16,1366,50,26,0.440702782,21,602,1366,0.050251256,26,50,995,0.022693997,21,31,1366,0,26,12/31/2019
WA,6/17/2020,0,0,8,92,11656,423,91,0.710259301,90,8190,11531,0.051626417,88,419,8116,0.036674181,90,423,11534,6,62,12/31/2019
HI,5/30/2020,0,0,0,14,1769,4,14,0.629226361,13,1098,1745,0.003642987,13,4,1098,0.002261164,14,4,1769,0,11,12/31/2019
SD,7/20/2020,2,33,0,47,2142,74,49,0.593837535,48,1272,2142,0.057098765,49,74,1296,0.034547152,48,74,2142,1,37,12/31/2019
KY,11/18/2020,3,118,32,122,14387,1652,122,0.712865782,124,10256,14387,0.16317661,122,1652,10124,0.116280707,122,1652,14207,34,122,12/31/2019
FL,5/29/2020,0,0,115,133,63121,3626,270,0.677749484,255,42053,62048,0.085144452,253,3569,41917,0.057557041,259,3625,62981,23,103,12/31/2019
MS,7/9/2020,0,0,4,75,6791,951,80,0.735630454,77,4889,6646,0.192472898,77,941,4889,0.141223641,79,951,6734,8,36,12/31/2019
MT,1/11/2021,11,54,17,65,2983,200,65,0.621857191,66,1855,2983,0.108932462,65,200,1836,0.067865626,65,200,2947,1,65,12/31/2019
FL,12/29/2020,9,211,72,225,53644,6893,225,0.7892961,231,42341,53644,0.165264092,225,6893,41709,0.130799446,225,6893,52699,101,225,12/31/2019
